citeulike_paper_id	author
42	arita, masanori
43	csete, marie e.
43	doyle, john c.
60	kuhl, patricia k.
61	sporns, o.
61	chialvo, d.
61	kaiser, m.
61	hilgetag, c.
62	sporns, olaf
62	k\\"{o}tter, rolf
98	kashtan, n.
98	itzkovitz, s.
98	milo, r.
98	alon, u.
99	watts, duncan j.
99	strogatz, steven h.
101	milo, r.
101	shen-orr, s.
101	itzkovitz, s.
101	kashtan, n.
101	chklovskii, d.
101	alon, u.
102	kleinberg, jon m.
114	brin, sergey
114	page, lawrence
122	goh, k. i.
122	kahng, b.
122	kim, d.
123	chung, fan
123	lu, linyuan
123	vu, van
127	menczer, filippo
128	newman, m. e. j.
129	amaral, l. a. n.
129	scala, a.
129	barth\\'{e}l\\'{e}my, m.
129	stanley, h. e.
148	ozbudak, ertugrul m.
148	thattai, mukund
148	lim, han n.
148	shraiman, boris i.
148	van oudenaarden, alexander
154	newman, m. e. j.
154	girvan, m.
155	newman, m. e. j.
156	barnard, kobus
156	duygulu, pinar
156	forsyth, david
156	nando, n. d. f.
156	blei, david m. b.
156	jordan, michael i. j.
175	foote, jonathan
186	you, lingchong
186	cox, robert sidney s.
186	weiss, ron
186	arnold, frances h.
205	luff, paul
205	heath, christian
214	riva, g.
226	bulter, thomas
226	lee, sun-gu
226	wong, wilson w.
226	fung, eileen
226	connor, michael r.
226	liao, james c.
230	sutton, charles
230	rohanimanesh, khashayar
230	mccallum, andrew
239	yook, soon-hyung
239	oltvai, zolt\\'{a}n n.
239	barab\\'{a}si, albert-l\\'{a}szl\\'{o}
271	kell, d. b.
306	pritchard, l.
306	kell, d. b.
310	tyson, john j.
310	chen, kathy
310	novak, bela
311	elowitz, m. b.
311	leibler, s.
448	pirolli, p.
448	card, s.
459	spellman, p. t.
459	miller, m.
459	stewart, j.
459	troup, c.
459	sarkans, u.
459	chervitz, s.
459	bernhart, d.
459	sherlock, g.
459	ball, c.
459	lepage, m.
459	swiatek, m.
459	marks, w. l.
459	goncalves, j.
459	markel, s.
459	iordan, d.
459	shojatalab, m.
459	pizarro, a.
459	white, j.
459	hubley, r.
459	deutsch, e.
459	senger, m.
459	aronow, b. j.
459	robinson, a.
459	bassett, d.
459	stoeckert, c. j.
459	brazma, a.
487	tallman, irving
487	leik, robert k.
487	gray, louis n.
487	stafford, mark c.
501	mewes, h. w.
501	heumann, k.
501	kaps, a.
501	mayer, k.
501	pfeiffer, f.
501	stocker, s.
501	frishman, d.
516	volz, erik
644	wu, fang
644	huberman, bernardo a.
722	nejdl, wolfgang
722	wolf, boris
722	qu, changtao
722	decker, stefan
722	naeve, michael s. . a. n.
722	nilsson, mikael
722	palmer, matthias
722	risch, tore
769	strogatz, steven h.
781	hucka, m.
781	finney, a.
781	sauro, h. m.
781	bolouri, h.
781	doyle, j. c.
781	kitano, h.
781	and the rest of the sbml forum:
781	arkin, a. p.
781	bornstein, b. j.
781	bray, d.
781	cornish-bowden, a.
781	cuellar, a. a.
781	dronov, s.
781	gilles, e. d.
781	ginkel, m.
781	gor, v.
781	goryanin, i. i.
781	hedley, w. j.
781	hodgman, t. c.
781	hofmeyr, j. h.
781	hunter, p. j.
781	juty, n. s.
781	kasberger, j. l.
781	kremling, a.
781	kummer, u.
781	le nov\\`{e}re, n.
781	loew, l. m.
781	lucio, d.
781	mendes, p.
781	minch, e.
781	mjolsness, e. d.
781	nakayama, y.
781	nelson, m. r.
781	nielsen, p. f.
781	sakurada, t.
781	schaff, j. c.
781	shapiro, b. e.
781	shimizu, t. s.
781	spence, h. d.
781	stelling, j.
781	takahashi, k.
781	tomita, m.
781	wagner, j.
781	wang, j.
816	gershenson, carlos
841	alon, u.
841	surette, m. g.
841	barkai, n.
841	leibler, s.
943	foster, allen
943	ford, nigel
1019	nachman, i.
1019	regev, a.
1019	friedman, n.
1021	friedman, nir
1021	linial, michal
1021	nachman, iftach
1021	pe'er, dana
1022	hartemink, alexander j.
1022	gifford, david k.
1022	jaakkola, tommi s.
1022	young, richard a.
1023	hartemink, a. j.
1023	gifford, d. k.
1023	jaakkola, t. s.
1023	young, r. a.
1064	ekin, ahmet
1064	tekalp, a. murat
1064	mehrotra, rajiv
1164	flatt, matthew
1380	ariola, zena m.
1380	maraist, john
1380	odersky, martin
1380	felleisen, matthias
1380	wadler, philip
2100	ideker, trey
2100	thorsson, vesteinn
2100	ranish, jeffrey a.
2100	christmas, rowan
2100	buhler, jeremy
2100	eng, jimmy k.
2100	bumgarner, roger
2100	goodlett, david r.
2100	aebersold, ruedi
2100	hood, leroy
2118	cowan, robin
2118	jonard, nicolas
2837	shaner, nathan c.
2837	campbell, robert e.
2837	steinbach, paul a.
2837	giepmans, ben n. g.
2837	palmer, amy e.
2837	tsien, roger y.
3123	sch\\"arli, nathanael
3123	ducasse, st\\'ephane
3123	nierstrasz, oscar
3123	black, andrew
3200	lindsay, elizabeth b.
3271	lawrence, steve
3271	giles, c. lee
3298	ungar, david
3298	chambers, craig
3298	chang, bay-wei
3298	holzle, urs
3450	guha, r.
3450	kumar, r.
3450	raghavan, p.
3450	tomkins, a.
3521	dey, a.
3521	salber, d.
3521	abowd, g.
3532	lieberman, henry
3560	cutting, douglass r.
3560	karger, david r.
3560	pedersen, jan o.
3560	tukey, john w.
3562	fayyad, usama m.
3562	reina, cory
3562	bradley, paul s.
4104	tucker, james c.
4104	torrence, matt
4119	walsham, geoff
4280	cohen, j. e.
4297	chworos, arkadiusz
4297	severcan, isil
4297	koyfman, alexey y.
4297	weinkam, patrick
4297	oroudjev, emin
4297	hansma, helen g.
4297	jaeger, luc
4303	karger, david
4303	lehman, eric
4303	leighton, tom
4303	panigrahy, rina
4303	levine, matthew
4303	lewin, daniel
4304	ripeanu, m.
4448	michael, maged m.
4448	scott, michael l.
8851	rao, b.
8851	parikh, m. a.
32678	borgatti, s. p.
32678	foster, p. c.
45311	institutional, i. m. i. h.
52185	bennett, sue
52185	lockyer, lori
70786	fox, steve
70816	kieburtz, richard
71724	floyd, sally
71724	jacobson, van
71746	pouwelse, j.
71746	garbacki, p.
71746	epema, d.
71746	sips, h.
71783	hutton, graham
71783	meijer, erik
73383	xu, wei
73383	gong, yihong
74514	fradera, x.
74514	mestres, j.
76440	farah, m.
76468	lindorff-larsen, kresten
76468	best, robert b.
76468	depristo, mark a.
76468	dobson, christopher m.
76468	vendruscolo, michele
78006	hightower, j.
78006	brumitt, b.
78006	borriello, g.
79158	tambe, m.
79713	{international hapmap consortium}
80418	lieberman, erez
80418	hauert, christoph
80418	nowak, martin a.
81500	newman, m. e.
82207	parkinson, h.
82207	sarkans, u.
82207	shojatalab, m.
82207	abeygunawardena, n.
82207	contrino, s.
82207	coulson, r.
82207	farne, a.
82207	lara, garcia g.
82207	holloway, e.
82207	kapushesky, m.
82207	lilja, p.
82207	mukherjee, g.
82207	oezcimen, a.
82207	rayner, t.
82207	rocca-serra, p.
82207	sharma, a.
82207	sansone, s.
82207	brazma, a.
82216	hamosh, ada
82216	scott, alan f.
82216	amberger, joanna s.
82216	bocchini, carol a.
82216	mckusick, victor a.
82275	velankar, s.
82275	mcneil, p.
82275	mittard-runte, v.
82275	suarez, a.
82275	barrell, d.
82275	apweiler, r.
82275	henrick, k.
82938	steele, guy l.
83492	lee, wenke
83492	stolfo, salvatore
83540	lee, daniel d.
83540	seung, h. sebastian
85519	carroll, j. m.
86440	friesner, richard a.
86440	banks, jay l.
86440	murphy, robert b.
86440	halgren, thomas a.
86440	klicic, jasna j.
86440	mainz, daniel t.
86440	repasky, matthew p.
86440	knoll, eric h.
86440	shelley, mee
86440	perry, jason k.
86440	shaw, david e.
86440	francis, perry
86440	shenkin, peter s.
86776	rashid, a.
87024	k\\"{o}rding, konrad p.
87024	fukunaga, izumi
87024	howard, ian s.
87024	ingram, james n.
87024	wolpert, daniel m.
87035	moses, alan
87035	chiang, derek
87035	kellis, manolis
87035	lander, eric
87035	eisen, michael
90414	wilson, m. a.
90414	mcnaughton, b. l.
90415	wilson, m. a.
90415	mcnaughton, b. l.
90416	pesaran, bijan
90416	pezaris, john s.
90416	sahani, maneesh
90416	mitra, partha p.
90416	andersen, richard a.
90466	pouget, alexandre
90466	dayan, peter
90466	zemel, richard s.
92789	lamport, leslie
92797	lampson, butler w.
93116	hansen, gary d.
93163	nash, john f.
93166	rubinstein, ariel
93513	woolfe, adam
93513	goodson, martin
93513	goode, debbie k.
93513	snell, phil
93513	mcewen, gayle k.
93513	vavouri, tanya
93513	smith, sarah f.
93513	north, phil
93513	callaway, heather
93513	kelly, krys
93513	walter, klaudia
93513	abnizova, irina
93513	gilks, walter
93513	edwards, yvonne j. k.
93513	cooke, julie e.
93513	elgar, greg
94299	huffaker, david a.
94299	calvert, sandra l.
94348	thompson, j. d.
94348	higgins, d. g.
94348	gibson, t. j.
94461	falquet, l.
94461	pagni, m.
94461	bucher, p.
94461	hulo, n.
94461	sigrist, c. j.
94461	hofmann, k.
94461	bairoch, a.
94463	salzberg, s. l.
94463	delcher, a. l.
94463	kasif, s.
94463	white, o.
94493	dolev, danny
94493	dwork, cynthia
94493	stockmeyer, larry
94495	chandra, tushar d.
94495	hadzilacos, vassos
94495	toueg, sam
95902	kollock, peter
95939	aaronson, scott
96165	berg, johannes
96165	l\\"{a}ssig, michael
96396	gruber, thomas r.
96402	andrade, nazareno
96402	cirne, walfredo
96402	brasileiro, francisco
96402	roisenberg, paulo
97088	candes, emmanuel
97088	tao, terence
99601	markus, hazel r.
99601	kitayama, shinobu
99888	truccolo, wilson
99888	eden, uri t.
99888	fellows, matthew r.
99888	donoghue, john p.
99888	brown, emery n.
99930	eguiluz, victor m.
99930	chialvo, dante r.
99930	cecchi, guillermo a.
99930	baliki, marwan
99930	apkarian, a. vania
99931	berners-lee, t.
99931	hendler, j.
99931	lassila, o.
100015	tversky, amos
100015	kahneman, daniel
