doc_id	citeulike_id	type	journal	booktitle	series	publisher	pages	volume	number	year	month	postedat	address	title	abstract
0	42	article	proceedings of the national academy of sciences of the united states of america	\N	\N	\N	4	101	6	2004	feb	2004-11-04 02:25:05	department of computational biology, graduate school of frontier sciences, university of tokyo, japan. arita@k.u-tokyo.ac.jp	the metabolic world of escherichia coli is not small.	to elucidate the organizational and evolutionary principles of the metabolism of living organisms, recent studies have addressed the graph-theoretic analysis of large biochemical networks responsible for the synthesis and degradation of cellular building blocks [jeong, h., tombor, b., albert, r., oltvai, z. n. \\& barab\\{\\'a\\}si, a. l. (2000) nature 407, 651-654; wagner, a. \\& fell, d. a. (2001) proc. r. soc. london ser. b 268, 1803-1810; and ma, h.-w. \\& zeng, a.-p. (2003) bioinformatics 19, 270-277]. in such studies, the global properties of the network are computed by considering enzymatic reactions as links between metabolites. however, the pathways computed in this manner do not conserve their structural moieties and therefore do not correspond to biochemical pathways on the traditional metabolic map. in this work, we reassessed earlier results by digitizing carbon atomic traces in metabolic reactions annotated for escherichia coli. our analysis revealed that the average path length of its metabolism is much longer than previously thought and that the metabolic world of this organism is not small in terms of biosynthesis and degradation.
1	43	article	science	\N	\N	american association for the advancement of science	5	295	5560	2002	mar	2004-11-04 02:25:51	department of anesthesiology, university of michigan medical school, ann arbor, mi 48109, usa.	reverse engineering of biological complexity	advanced technologies and biology have extremely different physical implementations, but they are far more alike in systems-level organization than is widely appreciated. convergent evolution in both domains produces modular architectures that are composed of elaborate hierarchies of protocols and layers of feedback regulation, are driven by demand for robustness to uncertain environments, and use often imprecise components. this complexity may be largely hidden in idealized laboratory settings and in normal operation, becoming conspicuous only when contributing to rare cascading failures. these puzzling and paradoxical features are neither accidental nor artificial, but derive from a deep and necessary interplay between complexity and robustness, modularity, feedback, and fragility. this review describes insights from engineering theory and practice that can shed some light on biological complexity.
2	60	article	nat rev neurosci	\N	\N	nature publishing group	12	5	11	2004	nov	2004-11-04 21:20:59	institute for learning and brain sciences and the department of speech and hearing sciences, university of washington, seattle, washington 98195, usa. pkkuhl@u.washington.edu	early language acquisition: cracking the speech code	infants learn language with remarkable speed, but how they do it remains a mystery. new data show that infants use computational strategies to detect the statistical and prosodic patterns in language input, and that this leads to the discovery of phonemes and words. social interaction with another human being affects speech learning in a way that resembles communicative learning in songbirds. the brain's commitment to the statistical and prosodic patterns that are experienced early in life might help to explain the long-standing puzzle of why infants are better language learners than adults. successful learning by infants, as well as constraints on that learning, are changing theories of language acquisition.
3	61	article	trends in cognitive sciences	\N	\N	\N	7	8	9	2004	sep	2004-11-04 21:29:27	department of psychology and programs in cognitive and neural science, indiana university, bloomington, in 47405, usa. osporns@indiana.edu	organization, development and function of complex brain networks	recent research has revealed general principles in the structural and functional organization of complex networks which are shared by various natural, social and technological systems. this review examines these principles as applied to the organization, development and function of complex brain networks. specifically, we examine the structural properties of large-scale anatomical and functional brain networks and discuss how they might arise in the course of network growth and rewiring. moreover, we examine the relationship between the structural substrate of neuroanatomy and more dynamic functional and effective connectivity patterns that underlie human cognition. we suggest that network analysis offers new fundamental insights into global and integrative aspects of brain function, including the origin of flexible and coherent cognitive states within the neural architecture.
4	62	article	plos biology	\N	\N	public library of science	\N	2	11	2004	nov	2004-11-04 21:34:10	department of psychology and programs in cognitive and neural science, indiana university, bloomington, indiana, united states of america. osporns@indiana.edu.	motifs in brain networks.	complex brains have evolved a highly efficient network architecture whose structural connectivity is capable of generating a large repertoire of functional states. we detect characteristic network building blocks (structural and functional motifs) in neuroanatomical data sets and identify a small set of structural motifs that occur in significantly increased numbers. our analysis suggests the hypothesis that brain networks maximize both the number and the diversity of functional motifs, while the repertoire of structural motifs remains small. using functional motif number as a cost function in an optimization algorithm, we obtain network topologies that resemble real brain networks across a broad spectrum of structural measures, including small-world attributes. these results are consistent with the hypothesis that highly evolved neural architectures are organized to maximize functional repertoires and to support highly efficient integration of information.
5	98	electronic	\N	\N	\N	\N	\N	\N	\N	2004	may	2004-11-07 13:58:29	\N	topological generalizations of network motifs	biological and technological networks contain patterns, termed network motifs, which occur far more often than in randomized networks. {n}etwork motifs were suggested to be elementary building blocks that carry out key functions in the network. {i}t is of interest to understand how network motifs combine to form larger structures. {t}o address this, we present a systematic approach to define "motif generalizations": families of motifs of different sizes that share a common architectural theme. {t}o define motif generalizations, we first define "roles" in a subgraph according to structural equivalence. {f}or example, the feedforward loop triad--a motif in transcription, neuronal, and some electronic networks--has three roles: an input node, an output node, and an internal node. {t}he roles are used to define possible generalizations of the motif. {t}he feedforward loop can have three simple generalizations, based on replicating each of the three roles and their connections. {w}e present algorithms for efficiently detecting motif generalizations. {w}e find that the transcription networks of bacteria and yeast display only one of the three generalizations, the multi-output feedforward generalization. {i}n contrast, the neuronal network of {c}. elegans mainly displays the multi-input generalization. {f}orward-logic electronic circuits display a multi-input, multi-output hybrid. {t}hus, networks which share a common motif can have very different generalizations of that motif. {u}sing mathematical modeling, we describe the information processing functions of the different motif generalizations in transcription, neuronal, and electronic networks.
6	99	article	nature	\N	\N	nature publishing group	2	393	6684	1998	jun	2004-11-07 13:58:29	department of theoretical and applied mechanics, cornell university, ithaca, new york 14853, usa. djw24@columbia.edu	collective dynamics of 'small-world' networks	networks of coupled dynamical systems have been used to model biological oscillators1, 2, 3, 4, josephson junction arrays5,6, excitable media7, neural networks8, 9, 10, spatial games11, genetic control networks12 and many other self-organizing systems. ordinarily, the connection topology is assumed to be either completely regular or completely random. but many biological, technological and social networks lie somewhere between these two extremes. here we explore simple models of networks that can be tuned through this middle ground: regular networks 'rewired' to introduce increasing amounts of disorder. we find that these systems can be highly clustered, like regular lattices, yet have small characteristic path lengths, like random graphs. we call them 'small-world' networks, by analogy with the small-world phenomenon13,14 (popularly known as six degrees of separation15). the neural network of the worm caenorhabditis elegans, the power grid of the western united states, and the collaboration graph of film actors are shown to be small-world networks. models of dynamical systems with small-world coupling display enhanced signal-propagation speed, computational power, and synchronizability. in particular, infectious diseases spread more easily in small-world networks than in regular lattices.
7	101	article	science	\N	\N	american association for the advancement of science	3	298	5594	2002	oct	2004-11-08 11:27:57	departments of physics of complex systems and molecular cell biology, weizmann institute of science, rehovot, israel 76100.	network motifs: simple building blocks of complex networks	complex networks are studied across many fields of science. to uncover their structural design principles, we defined  î network motifs,î patterns of interconnections occurring in complex networks at numbers that are significantly higher than those in randomized networks. we found such motifs in networks from biochemistry, neurobiology, ecology, and engineering. the motifs shared by ecological food webs were distinct from the motifs shared by the genetic networks of escherichia coli and saccharomyces cerevisiae or from those found in the world wide web. similar motifs were found in networks that perform information processing, even though they describe elements as different as biomolecules within a cell and synaptic connections between neurons in caenorhabditis elegans. motifs may thus define universal classes of networks. this approach may uncover the basic building blocks of most networks.
8	102	article	j. acm	\N	\N	acm	28	46	5	1999	sep	2004-11-08 14:13:12	new york, ny, usa	authoritative sources in a hyperlinked environment	the network structure of a hyperlinked environment can be a rich source of information about the content of the environment, provided we have effective means for understanding it. we develop a set of algorithmic tools for extracting information from the link structures of such environments, and report on experiments that demonstrate their effectiveness in a variety of context on the world wide web. the central issue we address within our framework is the distillation of broad search topics, through the discovery of  î authorativeî information sources on such topics. we propose and test an algorithmic formulation of the notion of authority, based on the relationship between a set of relevant authoritative pages and the set of  î hub pagesî that join them together in  the link structure. our formulation has connections to the eigenvectors of certain matrices associated with the link graph; these connections in turn motivate additional heuristrics for link-based analysis.
9	114	article	computer networks and isdn systems	proceedings of the seventh international conference on world wide web 7	www7	elsevier science publishers b. v.	10	30	1-7	1998	apr	2004-11-08 15:54:40	amsterdam, the netherlands, the netherlands	the anatomy of a large-scale hypertextual web search engine	in this paper, we present google, a prototype of a large-scale search engine which makes heavy use of the structure present in hypertext. google is designed to crawl and index the web efficiently and produce much more satisfying search results than existing systems. the prototype with a full text and hyperlink database of at least 24 million pages is available at http://google.stanford.edu/ to engineer a search engine is a challenging task. search engines index tens to hundreds of millions of web pages involving a comparable number of distinct terms. they answer tens of millions of queries every day. despite the importance of large-scale search engines on the web, very little academic research has been done on them. furthermore, due to rapid advance in technology and web proliferation, creating a web search engine today is very different from three years ago. this paper provides an in-depth description of our large-scale web search engine ó the first such detailed public description we know of to date. apart from the problems of scaling traditional search techniques to data of this magnitude, there are new technical challenges involved with using the additional information present in hypertext to produce better search results. this paper addresses this question of how to build a practical large-scale system which can exploit the additional information present in hypertext. also we look at the problem of how to effectively deal with uncontrolled hypertext collections where anyone can publish anything they want.
